Free:10, Fixed:3, Dims:3
0.036631949067256434,-0.018892051043896838,3.9888687242784218,0.008377575
0.019461446127392767,-0.5097701799156723,3.881115943702094,0.008377575
-0.9197544944730954,-0.32501161238553206,4.021885894607806,0.008377575
-0.7069895197681336,0.6387256617117628,3.8979882728677118,0.008377575
0.18991617761159033,0.9931519343608481,4.10822985300238,0.008377575
0.9395051291811006,0.3912208181724333,3.9242973505071883,0.008377575
0.941353598187295,-0.5611149556217874,4.057233689071552,0.008377575
-0.46533315097373773,-0.20889481040091976,3.113374382750942,0.008377575
0.025008685002335593,0.6358875018122432,3.206057834653419,0.008377575
0.5604361164482357,-0.2046422245779827,3.185652122852099,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,0.5,60,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
