Free:10, Fixed:3, Dims:3
-0.21457987919857788,0.3701776778719558,4.321912063155105,0.008377575
0.18212613720235532,-0.5156228883928846,3.967425693854273,0.008377575
-0.8003350015657384,-0.29504017048148,3.950026033453118,0.008377575
-1.1866519076524098,0.5362781636512104,4.419984679232453,0.008377575
-0.4980826122253163,1.3098149228186262,4.312524677795955,0.008377575
0.4560265962350836,1.0032439869865122,4.58251619896359,0.008377575
0.7002373352742624,0.3253484529985517,3.8836061173037804,0.008377575
-0.119229807579181,0.14462723859578522,3.3277938426031377,0.008377575
-0.8260087232053518,0.760602123989362,3.5547902544833883,0.008377575
0.10066082476552049,1.0702906536366377,3.651338059438643,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,0.5,60,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
