Free:10, Fixed:3, Dims:3
0.4645803567151571,0.0022499846626110242,4.310851384377048,0.008377575
0.44666971008783835,-0.9779800408665883,4.303389653362439,0.008377575
-0.3097545629648705,-0.502514812488671,3.842627166288178,0.008377575
-0.3369750602687981,0.47970058098624085,3.845442845363994,0.008377575
0.42198964568949243,0.9807239813781796,4.264654601309642,0.008377575
1.3092093684140431,0.5358526337663613,4.487960062071764,0.008377575
1.3288755788003142,-0.5011078137699218,4.483330902188251,0.008377575
0.5590013207858119,-0.5196291249718559,3.4205164360697906,0.008377575
0.5163132711128575,0.4826896955004039,3.3962547956241513,0.008377575
1.320349938482542,0.021602698423446823,3.667570374718077,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,0.5,60,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
