Free:10, Fixed:3, Dims:3
0.01965977714862785,0.03405643396271662,3.9704960058299865,0.008377575
-0.22600128494095106,-0.8993788352739117,3.9086056298925898,0.008377575
-0.6658861380949959,-0.6454125635922315,3.9086046436562527,0.008377575
-0.8451674185027378,0.39011256891448065,3.962796636334859,0.008377575
-0.012864620320414646,1.0064561926216558,4.006435364010208,0.008377575
0.8780428453744679,0.49209326247423196,4.006435542384765,0.008377575
0.7604293326226893,-0.5368745196261205,3.9627959609899985,0.008377575
-0.23375905323674084,-0.40488149886192526,3.057143892040026,0.008377575
-0.2549756979844827,0.5691707289620488,3.158278958663144,0.008377575
0.6203999982225686,0.06377591746414142,3.15827890861231,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,0.5,60,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
