Free:10, Fixed:3, Dims:3
-0.02362528043631027,0.04091550551635703,3.9854642977254344,0.008377575
0.20622521566151863,-0.8674038302189555,3.994936388480673,0.008377575
-0.7951069616459989,-0.5505393770836693,3.975770381790244,0.008377575
-0.8681745633661705,0.48091168169799714,3.9738530689357354,0.008377575
0.017594439913955894,0.9923146867611831,3.9738525492447523,0.008377575
0.8743276722492965,0.4133165358347944,3.975772520999019,0.008377575
0.6480811034658469,-0.6122967738010673,3.9949336392058945,0.008377575
-0.2606537330648847,-0.5173860579127084,3.1631258091787977,0.008377575
-0.283207353988505,0.4905193129619484,3.1476529986238564,0.008377575
0.5783933443504271,-0.03295530226048914,3.163125719936206,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,0.5,60,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
