Free:10, Fixed:3, Dims:3
-0.04272467627380815,0.0026877190024749494,4.0248220710201705,0.008377575
-0.16038483844651952,-0.936058202062625,3.8542502286087683,0.008377575
-0.9658024167239998,-0.4273268653518809,4.080616645182157,0.008377575
-0.9017732959233049,0.5489291591135342,4.017934231439547,0.008377575
-0.01809720581193046,0.9479583206677237,3.901340739768657,0.008377575
0.8442667086162519,0.42426455422848847,3.936581189595229,0.008377575
0.7655881124631947,-0.5744069068444003,4.011213525521223,0.008377575
-0.2790433258557834,-0.7118914073592831,3.414636094248306,0.008377575
-0.4102876726711302,0.29785131461304853,3.1843844343960934,0.008377575
0.4892859233856869,-0.11706359693685714,3.1717231506087527,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,0.5,60,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
