Free:10, Fixed:3, Dims:3
-0.04224385443521923,0.01598651783032563,4.016119012707242,0.008377575
-0.18898928691780964,-0.8285386431244129,4.440507789307002,0.008377575
-0.9846100367632348,-0.3629934640541092,4.099779476095577,0.008377575
-0.867653139465518,0.6066259470233044,3.995820112807355,0.008377575
0.042727257272922196,0.9579868727385596,3.9252005731294926,0.008377575
0.8702599787103623,0.37487708760240285,3.9260953909263847,0.008377575
0.7149957139278625,-0.6164614252755399,4.036365122574993,0.008377575
-0.34196711790797524,-0.6629937401328665,3.4110483882388305,0.008377575
-0.3585475389569538,0.3533622247761365,3.173397435239318,0.008377575
0.490001430478778,-0.1639947862755313,3.1747574857001037,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,0.5,60,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
