Free:10, Fixed:3, Dims:3
0.04724251647977854,-2.861570469545081e-08,3.985464354689508,0.008377575
-0.07922879613043747,-0.9638500613442775,3.9757723363494897,0.008377575
-0.8543101938696779,-0.255105920874795,3.994933624437209,0.008377575
-0.8543102195761806,0.25510596251664114,3.994933726896195,0.008377575
-0.07922878183924258,0.9638500787340326,3.9757723430248237,0.008377575
0.8505667030578029,0.5114000937559027,3.973852721867369,0.008377575
0.8505667582792187,-0.511400086934937,3.973852698816606,0.008377575
-0.31774278529154937,-0.48442590972844213,3.163125598041884,0.008377575
-0.31774286614482294,0.484425898192197,3.1631256409297084,0.008377575
0.5664024379769727,-4.2173161332716836e-08,3.147652977932058,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,0.5,60,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
