Free:10, Fixed:3, Dims:3
0.023686504240415997,-0.03565496926729936,4.024822136131319,0.008377575
0.11282058248953328,-1.0500704765794282,4.08061909676154,0.008377575
-0.7304616744894515,-0.606924256221182,3.854249208767552,0.008377575
-0.8802487532045766,0.37581727401430626,4.0112124953117325,0.008377575
-0.054712976811010325,0.9432903420477297,3.9365819662464827,0.008377575
0.8300012523033561,0.45830844565323914,3.9013398661014183,0.008377575
0.9262692843749177,-0.5064922634306732,4.017935170552595,0.008377575
-0.47699714947447835,-0.5976027308956712,3.4146357659600777,0.008377575
-0.34602541497712586,0.36520407699529184,3.1717230405922323,0.008377575
0.4630877771426255,-0.20639272892604552,3.184384527293146,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,0.5,60,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
