Free:10, Fixed:3, Dims:3
0.019659777148679867,-0.034056433962610794,3.9704960058299754,0.008377575
-0.012864620320863383,-1.006456192621627,4.006435364010284,0.008377575
-0.8451674185027603,-0.39011256891369284,3.9627966363348857,0.008377575
-0.6658861380943996,0.645412563593011,3.9086046436563717,0.008377575
-0.22600128494005298,0.8993788352741677,3.9086056298925533,0.008377575
0.7604293326232783,0.5368745196258313,3.962795960990021,0.008377575
0.8780428453741908,-0.49209326247450896,4.006435542384595,0.008377575
-0.2549756979845508,-0.5691707289621716,3.1582789586632147,0.008377575
-0.23375905323732235,0.40488149886173824,3.057143892040044,0.008377575
0.6203999982223113,-0.06377591746389916,3.158278908612187,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,0.5,60,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
