Free:10, Fixed:3, Dims:3
-0.03468020862389494,-0.02228032795428871,3.9888686552105876,0.008377575
-0.13094932802825876,-1.009247429007676,3.9242980243970105,0.008377575
-0.9566206102709702,-0.5346804487288318,4.057232910754492,0.008377575
-0.4512080336044114,0.23802824990596766,3.8811150700948165,0.008377575
0.1784044929391515,0.959034113998786,4.021888098268099,0.008377575
0.9066438227719064,0.29290648464742347,3.8979888461164527,0.008377575
0.7651336090991228,-0.6610505441840121,4.1082281634541555,0.008377575
-0.45744621995853585,-0.38303219561280244,3.1856520039068696,0.008377575
0.05175525551813861,0.5074371172200909,3.1133751310875772,0.008377575
0.5381874651000355,-0.3396023687628794,3.2060570148625134,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,0.5,60,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
