Free:10, Fixed:3, Dims:3
-0.02362528043633118,-0.04091550551640056,3.985464297725434,0.008377575
0.01759443991409777,-0.9923146867612469,3.973852549244865,0.008377575
-0.8681745633661038,-0.4809116816981892,3.9738530689356764,0.008377575
-0.7951069616461429,0.5505393770834962,3.9757703817902788,0.008377575
0.20622521566133406,0.8674038302189293,3.994936388480565,0.008377575
0.6480811034657271,0.6122967738011538,3.994933639205924,0.008377575
0.874327672249309,-0.4133165358346743,3.9757725209989854,0.008377575
-0.28320735398833813,-0.4905193129621504,3.1476529986238777,0.008377575
-0.2606537330651167,0.5173860579125117,3.163125809178783,0.008377575
0.5783933443503936,0.03295530226063081,3.163125719936187,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,0.5,60,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
