Free:10, Fixed:3, Dims:3
-0.042724676273808035,-0.0026877190024749047,4.0248220710201705,0.008377575
-0.01809720581193023,-0.9479583206677236,3.9013407397686564,0.008377575
-0.9017732959233049,-0.5489291591135345,4.017934231439547,0.008377575
-0.9658024167239997,0.4273268653518807,4.080616645182157,0.008377575
-0.16038483844651977,0.9360582020626251,3.8542502286087683,0.008377575
0.7655881124631945,0.5744069068444004,4.011213525521223,0.008377575
0.844266708616252,-0.4242645542284883,3.936581189595229,0.008377575
-0.4102876726711298,-0.29785131461304853,3.1843844343960934,0.008377575
-0.2790433258557835,0.7118914073592831,3.414636094248306,0.008377575
0.48928592338568705,0.11706359693685743,3.1717231506087527,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,0.5,60,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
