Free:10, Fixed:3, Dims:3
-0.04224385443521917,-0.015986517830325658,4.016119012707242,0.008377575
0.04272725727292221,-0.9579868727385595,3.9252005731294926,0.008377575
-0.867653139465518,-0.6066259470233042,3.995820112807355,0.008377575
-0.9846100367632348,0.3629934640541093,4.099779476095577,0.008377575
-0.1889892869178095,0.8285386431244128,4.440507789307002,0.008377575
0.7149957139278628,0.6164614252755399,4.036365122574993,0.008377575
0.8702599787103622,-0.3748770876024031,3.9260953909263847,0.008377575
-0.3585475389569538,-0.35336222477613644,3.173397435239318,0.008377575
-0.34196711790797507,0.6629937401328666,3.4110483882388305,0.008377575
0.4900014304787781,0.16399478627553135,3.1747574857001037,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,0.5,60,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
