Free:10, Fixed:3, Dims:3
-0.03932747613525182,6.832819597718419e-09,3.970495909722178,0.008377575
0.08472988350415994,-0.9269902666045432,3.9627974333555787,0.008377575
-0.8651899618924632,-0.5143648021157187,4.006434518856178,0.008377575
-0.8651899271901007,0.5143649088022835,4.006434497979891,0.008377575
0.08472994350274274,0.9269902703001952,3.9627974337923737,0.008377575
0.8918822123934523,0.25396729427563175,3.90860489409465,0.008377575
0.8918821979295569,-0.2539673391229486,3.9086049050924667,0.008377575
-0.36543330058440626,-0.5053976202259827,3.1582788879893307,0.008377575
-0.36543325347189115,0.5053976285399295,3.1582788764216447,0.008377575
0.46751362909508004,-3.7016066508594865e-08,3.0571436099160274,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,0.5,60,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
