Free:10, Fixed:3, Dims:3
0.03663194906725634,0.01889205104389676,3.9888687242784218,0.008377575
0.18991617761159016,-0.9931519343608483,4.10822985300238,0.008377575
-0.7069895197681337,-0.6387256617117631,3.897988272867712,0.008377575
-0.9197544944730954,0.32501161238553156,4.021885894607806,0.008377575
0.01946144612739246,0.5097701799156723,3.881115943702094,0.008377575
0.9413535981872948,0.5611149556217874,4.057233689071552,0.008377575
0.9395051291811006,-0.39122081817243337,3.9242973505071883,0.008377575
0.02500868500233542,-0.6358875018122433,3.2060578346534196,0.008377575
-0.46533315097373773,0.2088948104009196,3.1133743827509415,0.008377575
0.5604361164482355,0.20464222457798265,3.1856521228520984,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,0.5,60,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
