Free:10, Fixed:3, Dims:3
-0.03618097665676022,5.015079866345213e-09,4.023766271455012,0.008377575
-0.08540746320166978,-0.9424374602325947,3.8795750919850365,0.008377575
-0.9312344420004783,-0.4887774154421194,4.040476123356086,0.008377575
-0.9312344145119326,0.4887773772393727,4.040476167487122,0.008377575
-0.08540739836690468,0.9424375038777264,3.8795750135535076,0.008377575
0.815596726938693,0.5018000904888118,3.972523569185305,0.008377575
0.8155967438605873,-0.5018000721806117,3.9725235592509116,0.008377575
-0.4612055271198422,-0.2532810722912109,3.1874430766609274,0.008377575
-0.4612055438602846,0.25328109157446277,3.187443144083304,0.008377575
0.5023590171279543,-1.8884018797189526e-08,3.1673938016898835,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,0.5,60,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
