Free:10, Fixed:3, Dims:3
0.01808739084275047,-0.03133150476598038,4.023766409306706,0.008377575
0.042318655189410116,-1.0508585324651887,4.0404776390795325,0.008377575
-0.7734753344914702,-0.545180378145791,3.87957394511859,0.008377575
-0.8423724406608224,0.45543078238114915,3.9725216859592813,0.008377575
0.026771289868265973,0.9572296296993825,3.9725254106859325,0.008377575
0.858875871529874,0.3972552172171908,3.8795742402428974,0.008377575
0.8889070317434241,-0.5620824289191715,4.040477573708613,0.008377575
0.011251512763968262,-0.5260543957088957,3.1874434858058733,0.008377575
-0.2511793158163028,0.43505889494158695,3.1673938424631025,0.008377575
0.4499479254134383,-0.2727746142867258,3.1874436185727495,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,0.5,60,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
