Free:10, Fixed:3, Dims:3
0.018087390841604954,0.031331504766648866,4.0237664093066945,0.008377575
0.026771289864673677,-0.9572296296971524,3.9725254106824854,0.008377575
-0.8423724406645281,-0.4554307823790825,3.972521685962681,0.008377575
-0.7734753344898735,0.5451803781467978,3.8795739451147866,0.008377575
0.042318655188447935,1.050858532466944,4.040477639079825,0.008377575
0.8889070317413914,0.5620824289191376,4.040477573708234,0.008377575
0.8588758715298395,-0.3972552172190223,3.879574240246641,0.008377575
-0.2511793158248447,-0.43505889493666056,3.1673938424630825,0.008377575
0.011251512771595203,0.5260543957091108,3.1874434858065857,0.008377575
0.4499479254170405,0.2727746142799756,3.1874436185719475,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,0.5,60,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
