Free:10, Fixed:3, Dims:3
-2.3703340659238014e-06,3.655787486798184e-11,3.9878773494930093,0.008377575
-0.001273062994909868,-0.9967031811358706,3.983316274298319,0.008377575
-0.8625380311837625,-0.4994517739785285,3.983314633678383,0.008377575
-0.8625380312051926,0.4994517739682599,3.983314633686131,0.008377575
-0.0012730629602570283,0.9967031811207927,3.9833162743055928,0.008377575
0.8638032364582241,0.4972516429402579,3.9833154118755516,0.008377575
0.8638032364927071,-0.4972516429433618,3.9833154118783107,0.008377575
-0.28820672694355964,-0.499185729057853,3.162617522350987,0.008377575
-0.2882067269311872,0.49918572904658465,3.162617522339325,0.008377575
0.576407925759599,6.247239008688311e-12,3.1626175238275795,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,0.5,60,0
10,12,1,10,0
11,12,1,10,0
