Free:10, Fixed:3, Dims:3
-2.354999064281233e-06,-4.703862290970415e-18,3.987877360883771,0.008377575
-0.0012730142271257085,-0.9967031400135659,3.9833162553949824,0.008377575
-0.8625380078618555,-0.4994517527230396,3.9833146373806145,0.008377575
-0.8625380078618555,0.4994517527230396,3.9833146373806145,0.008377575
-0.0012730142271257085,0.9967031400135659,3.9833162553949824,0.008377575
0.8638032624192977,0.49725162691779906,3.983315419963839,0.008377575
0.8638032624192977,-0.49725162691779906,3.983315419963839,0.008377575
-0.28820674354764225,-0.4991857297048773,3.1626175194385295,0.008377575
-0.28820674354764225,0.4991857297048773,3.1626175194385295,0.008377575
0.5764078834249595,0.0,3.162617534982326,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,0.5,60,0
11,12,1,10,0
