Free:10, Fixed:3, Dims:3
-2.3550070861522304e-06,-2.726209131028325e-17,3.9878773608181723,0.008377575
-0.001273014477231892,-0.9967031402650606,3.983316255560326,0.008377575
-0.8625380079311155,-0.4994517528045003,3.9833146373738537,0.008377575
-0.8625380079311155,0.4994517528045003,3.9833146373738537,0.008377575
-0.0012730144772323234,0.9967031402650598,3.9833162555603248,0.008377575
0.8638032622850793,0.4972516270253653,3.9833154198762295,0.008377575
0.8638032622850793,-0.4972516270253653,3.9833154198762295,0.008377575
-0.2882067433010859,-0.4991857297246733,3.162617519491758,0.008377575
-0.28820674330108487,0.4991857297246737,3.1626175194917594,0.008377575
0.5764078837901263,3.70748452154682e-16,3.1626175348594483,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,0.5,60,0
