Free:10, Fixed:3, Dims:3
0.0182102728618322,0.025221046795509995,3.963914543645975,0.008377575
0.30082715171905566,-0.9347204463473133,4.152815035970457,0.008377575
-0.6790262916341983,-0.7032850968381644,3.934853095333936,0.008377575
-0.9145233112379277,0.28320940692581165,4.033411260842753,0.008377575
-0.22364375936479652,1.007588747343092,3.9644865360429367,0.008377575
0.7111943624122931,0.7358268364835769,4.170190436383802,0.008377575
0.9538800189275404,-0.19358113040515681,3.884042967282328,0.008377575
0.07660866949845938,-0.24322661111833282,3.5407175452444215,0.008377575
-0.43760841383411886,0.4826906345598472,3.161939118658369,0.008377575
0.5746706282621235,0.5001819653856971,3.2276772221925007,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,0.5,60,0
0,8,1,10,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
