Free:10, Fixed:3, Dims:3
0.018210272338547915,-0.02522104635716098,3.9639145436560437,0.008377575
-0.22364375930573538,-1.0075887466475484,3.9644865350733722,0.008377575
-0.9145233116973239,-0.28320940713412485,4.033411261166411,0.008377575
-0.6790262927913437,0.7032850965988101,3.934853095755065,0.008377575
0.30082715015812045,0.9347204472213357,4.1528150356312885,0.008377575
0.9538800176856493,0.19358113158872242,3.8840429673997767,0.008377575
0.7111943626498513,-0.7358268353495208,4.170190436329089,0.008377575
-0.43760841536278255,-0.48269063342817575,3.161939117910601,0.008377575
0.07660866873555339,0.243226611666276,3.540717545414057,0.008377575
0.5746706273893812,-0.5001819648042701,3.227677222526696,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,0.5,60,0
0,9,1,10,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
