Free:10, Fixed:3, Dims:3
-0.031314347215173864,-4.127626242938938e-09,3.9561661392693246,0.008377575
-0.04569896071956224,-0.9758521121437974,3.9454389832922936,0.008377575
-0.9166641868403692,-0.49534433482982765,4.054475531583302,0.008377575
-0.9166638667174641,0.4953449498526102,4.0544752514508415,0.008377575
-0.04569824642454296,0.9758521246562885,3.9454391901315042,0.008377575
0.8537999275819083,0.5135234515676025,4.02435957972215,0.008377575
0.8537995314643172,-0.5135241327417216,4.024359882845023,0.008377575
-0.5001041920665028,-0.5052033856126608,3.1695895477153493,0.008377575
-0.5001034529014011,0.5052038985452593,3.169589460754662,0.008377575
0.22564358839576276,-2.706061302302617e-07,3.522492704993498,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,0.5,60,0
0,10,1,10,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
