Free:10, Fixed:3, Dims:3
-0.21457987932209446,-0.37017767795705014,4.3219120631568035,0.008377575
-0.4980826123525956,-1.3098149230041196,4.312524678316284,0.008377575
-1.1866519077470512,-0.5362781638814869,4.419984679566349,0.008377575
-0.8003350017348081,0.2950401703028849,3.95002603360877,0.008377575
0.18212613714238304,0.515622888161952,3.9674256938025527,0.008377575
0.7002373351390643,-0.32534845318589134,3.8836061172680814,0.008377575
0.45602659622158687,-1.0032439869869942,4.5825161989629395,0.008377575
-0.8260087234736069,-0.7606021242403226,3.5547902547992534,0.008377575
-0.11922980788996086,-0.14462723883460812,3.3277938425235245,0.008377575
0.10066082452393878,-1.0702906538260843,3.651338059508309,0.008377575
-0.28868,-0.5,4.8165,0.008377575
-0.28868,0.5,4.8165,0.008377575
0.57735,0.0,4.8165,0.008377575
0,1,1,10,0
0,2,1,10,0
0,3,1,10,0
0,4,1,10,0
0,5,1,10,0
0,6,1,10,0
0,7,1,10,0
0,8,1,10,0
0,9,1,10,0
0,10,0.5,60,0
0,11,1,10,0
0,12,1,10,0
1,2,1,10,0
1,6,1,10,0
1,7,1,10,0
1,10,1,10,0
2,3,1,10,0
2,7,1,10,0
2,10,1,10,0
3,4,1,10,0
3,8,1,10,0
3,11,1,10,0
4,5,1,10,0
4,8,1,10,0
4,11,1,10,0
5,6,1,10,0
5,9,1,10,0
5,12,1,10,0
6,9,1,10,0
6,12,1,10,0
7,8,1,10,0
7,9,1,10,0
8,9,1,10,0
10,11,1,10,0
10,12,1,10,0
11,12,1,10,0
